Last Updated: 2020-02-11 16:03:51.992000
1--- || 7        eaptest / eaptest                                                        Enabled   vlan               none        
1234 || 6         Lounge /  Lounge                                                	  Enabled   vlan               none        
1234 || 30       Time / Time                                                  		  Enabled   vlan               none        
1234 || 409      *Wifi By JOOR / *Wifi By JOOR                                            Enabled   vlan               none        
1234 || 11       @Wi-Fi in Booth 5Mbps / @Wi-Fi in Booth 5Mbps                            Enabled   vlan               none        
1234 || 5        FBS / FBS                                                                Enabled   vlan              none        
134- || 50       TimeLapse / TimeLapse                                                    Enabled   vlan               none        
1234 || 24       Bees / Bees                                                  		  Enabled   vlan               none        
1234 || 20       American Fixture & Display / American Fixture & Display                  Disabled  vlan               none        
1234 || 200      AG / AG                                                                  Enabled   vlan               none        
1234 || 25       @ Jake / @ Jake                                                          Enabled   vlan               none        
1234 || 13       AV / AV                                                      		  Enabled   vlan               none        
1234 || 382      Test / Test                                                              Enabled   vlan               none        
1234 || 3        @Wi-Fi in Booth 1.5Mbps / @Wi-Fi in Booth 1.5Mbps                        Enabled   vlan               none        
1234 || 17       @ Wi-Fi / @ Wi-Fi                                            		  Enabled   vlan              none        
1--- || 9        Guest_test / Guest_test                                                  Enabled   vlan               none        
1234 || 8        Cultivated-Javit / Cultivated-Javit                                      Enabled   vlan             none        
2--- || 50       TimeLapse / TimeLapse                                                    Disabled  management            none        
1234 || 10       Ephemera / Ephemera                                                      Enabled   vlan               none        
1234 || 495      Now2020 / Now2020                                                    	  Enabled   vlan               none        
1234 || 2        CCOC / CCOC                                                          	  Enabled   vlan               none        
1234 || 336      wstaffwifi / wstaffwifi                                              	  Enabled   vlan               none        
1234 || 150      HGSHOW / HGSHOW                                                          Enabled   vlan               none        
1234 || 4        Center /  Center                                            		  Enabled   vlan               none        
